GAME_ID,OFFICIAL_ID,OFFICIAL_NAME,FIRST_NAME,LAST_NAME,JERSEY_NUM,SEASON_TYPE,POSTSEASON_STAGE,POSTSEASON_SEASON_TYPE,SPECIAL_SITE
0022100022,1628171,Brandon Schwab,Brandon,Schwab,86,Regular Season,Regular Season,Regular Season,0
0022100023,1151,Sean Corbin,Sean,Corbin,33,Regular Season,Regular Season,Regular Season,0
0022100023,2004,Courtney Kirkland,Courtney,Kirkland,61,Regular Season,Regular Season,Regular Season,0
0022100023,1628487,Danielle Scott,Danielle,Scott,87,Regular Season,Regular Season,Regular Season,0
0022100024,2882,Sean Wright,Sean,Wright,4,Regular Season,Regular Season,Regular Season,0
0022100024,200834,Mark Lindsay,Mark,Lindsay,29,Regular Season,Regular Season,Regular Season,0
0022100024,1627963,Phenizee Ransom,Phenizee,Ransom,70,Regular Season,Regular Season,Regular Season,0
0022100025,1146,Tony Brothers,Tony,Brothers,25,Regular Season,Regular Season,Regular Season,0
0022100025,202007,Nick Buchert,Nick,Buchert,3,Regular Season,Regular Season,Regular Season,0
0022100025,203593,Justin Van Duyne,Justin,Van Duyne,64,Regular Season,Regular Season,Regular Season,0
0022100026,201246,Kevin Cutler,Kevin,Cutler,34,Regular Season,Regular Season,Regular Season,0
0022100026,201638,Brent Barnaky,Brent,Barnaky,36,Regular Season,Regular Season,Regular Season,0
0022100026,202037,J.T. Orr,J.T.,Orr,72,Regular Season,Regular Season,Regular Season,0
0022100027,1198,Scott Wall,Scott,Wall,31,Regular Season,Regular Season,Regular Season,0
0022100027,200832,Curtis Blair,Curtis,Blair,74,Regular Season,Regular Season,Regular Season,0
0022100027,1627524,Nate Green,Nate,Green,65,Regular Season,Regular Season,Regular Season,0
0022100028,1193,Michael Smith,Michael,Smith,38,Regular Season,Regular Season,Regular Season,0
0022100028,202058,James Williams,James,Williams,60,Regular Season,Regular Season,Regular Season,0
0022100028,1627519,John Conley,John,Conley,79,Regular Season,Regular Season,Regular Season,0
0022100029,201639,Josh Tiven,Josh,Tiven,58,Regular Season,Regular Season,Regular Season,0
0022100029,1626302,Aaron Smith,Aaron,Smith,51,Regular Season,Regular Season,Regular Season,0
0022100029,1627534,Andy Nagy,Andy,Nagy,83,Regular Season,Regular Season,Regular Season,0
0022100030,2003,Pat Fraher,Pat,Fraher,26,Regular Season,Regular Season,Regular Season,0
0022100030,200833,Eric Dalen,Eric,Dalen,37,Regular Season,Regular Season,Regular Season,0
0022100030,1626300,Ray Acosta,Ray,Acosta,54,Regular Season,Regular Season,Regular Season,0
0022100031,2005,Matt Boland,Matt,Boland,18,Regular Season,Regular Season,Regular Season,0
0022100031,202041,Kevin Scott,Kevin,Scott,24,Regular Season,Regular Season,Regular Season,0
0022100031,204058,Gediminas Petraitis,Gediminas,Petraitis,50,Regular Season,Regular Season,Regular Season,0
0022100032,2530,Ed Malloy,Ed,Malloy,14,Regular Season,Regular Season,Regular Season,0
0022100032,202026,Karl Lane,Karl,Lane,77,Regular Season,Regular Season,Regular Season,0
0022100032,202053,Scott Twardoski,Scott,Twardoski,52,Regular Season,Regular Season,Regular Season,0
0022100033,1199,Tom Washington,Tom,Washington,49,Regular Season,Regular Season,Regular Season,0
0022100033,2534,Zach Zarba,Zach,Zarba,15,Regular Season,Regular Season,Regular Season,0
0022100033,1628954,Jenna Schroeder,Jenna,Schroeder,84,Regular Season,Regular Season,Regular Season,0
0022100034,1146,Tony Brothers,Tony,Brothers,25,Regular Season,Regular Season,Regular Season,0
0022100034,202007,Nick Buchert,Nick,Buchert,3,Regular Season,Regular Season,Regular Season,0
0022100034,202035,Brett Nansel,Brett,Nansel,44,Regular Season,Regular Season,Regular Season,0
0022100035,1148,James Capers,James,Capers,19,Regular Season,Regular Season,Regular Season,0
0022100035,1204,Derek Richardson,Derek,Richardson,63,Regular Season,Regular Season,Regular Season,0
0022100035,1627529,Suyash Mehta,Suyash,Mehta,82,Regular Season,Regular Season,Regular Season,0
0022100036,1662,Bill Kennedy,Bill,Kennedy,55,Regular Season,Regular Season,Regular Season,0
0022100036,202027,Tre Maddox,Tre,Maddox,23,Regular Season,Regular Season,Regular Season,0
0022100036,1628951,John Butler,John,Butler,53,Regular Season,Regular Season,Regular Season,0
0022100037,1155,JB DeRosa,JB,DeRosa,62,Regular Season,Regular Season,Regular Season,0
0022100037,1363,Bennie Adams,Bennie,Adams,47,Regular Season,Regular Season,Regular Season,0
0022100037,202049,Ben Taylor,Ben,Taylor,46,Regular Season,Regular Season,Regular Season,0
0022100038,1179,Rodney Mott,Rodney,Mott,71,Regular Season,Regular Season,Regular Season,0
0022100038,1627962,Jacyn Goble,Jacyn,Goble,68,Regular Season,Regular Season,Regular Season,0
0022100038,1627963,Phenizee Ransom,Phenizee,Ransom,70,Regular Season,Regular Season,Regular Season,0
0022100039,2002,Derrick Collins,Derrick,Collins,11,Regular Season,Regular Season,Regular Season,0
0022100039,201638,Brent Barnaky,Brent,Barnaky,36,Regular Season,Regular Season,Regular Season,0
0022100039,1628954,Jenna Schroeder,Jenna,Schroeder,84,Regular Season,Regular Season,Regular Season,0
0022100040,1830,Marc Davis,Marc,Davis,8,Regular Season,Regular Season,Regular Season,0
0022100040,201246,Kevin Cutler,Kevin,Cutler,34,Regular Season,Regular Season,Regular Season,0
0022100040,1627961,Brandon Adair,Brandon,Adair,67,Regular Season,Regular Season,Regular Season,0
0022100041,2004,Courtney Kirkland,Courtney,Kirkland,61,Regular Season,Regular Season,Regular Season,0
0022100041,2005,Matt Boland,Matt,Boland,18,Regular Season,Regular Season,Regular Season,0
0022100041,202901,Matt Myers,Matt,Myers,43,Regular Season,Regular Season,Regular Season,0
0022100042,1201,Leon Wood,Leon,Wood,40,Regular Season,Regular Season,Regular Season,0
0022100042,200834,Mark Lindsay,Mark,Lindsay,29,Regular Season,Regular Season,Regular Season,0
0022100042,202056,CJ Washington,CJ,Washington,12,Regular Season,Regular Season,Regular Season,0
0022100043,201639,Josh Tiven,Josh,Tiven,58,Regular Season,Regular Season,Regular Season,0
0022100043,1626302,Aaron Smith,Aaron,Smith,51,Regular Season,Regular Season,Regular Season,0
0022100043,1627964,Jonathan Sterling,Jonathan,Sterling,17,Regular Season,Regular Season,Regular Season,0
0022100044,1198,Scott Wall,Scott,Wall,31,Regular Season,Regular Season,Regular Season,0
0022100044,204059,Tyler Ford,Tyler,Ford,39,Regular Season,Regular Season,Regular Season,0
0022100044,1626300,Ray Acosta,Ray,Acosta,54,Regular Season,Regular Season,Regular Season,0
0022100045,202041,Kevin Scott,Kevin,Scott,24,Regular Season,Regular Season,Regular Season,0
0022100045,203592,Dedric Taylor,Dedric,Taylor,21,Regular Season,Regular Season,Regular Season,0
0022100045,1628172,Evan Scott,Evan,Scott,78,Regular Season,Regular Season,Regular Season,0
0022100046,1193,Michael Smith,Michael,Smith,38,Regular Season,Regular Season,Regular Season,0
0022100046,202058,James Williams,James,Williams,60,Regular Season,Regular Season,Regular Season,0
0022100046,1627529,Suyash Mehta,Suyash,Mehta,82,Regular Season,Regular Season,Regular Season,0
0022100047,2530,Ed Malloy,Ed,Malloy,14,Regular Season,Regular Season,Regular Season,0
0022100047,200833,Eric Dalen,Eric,Dalen,37,Regular Season,Regular Season,Regular Season,0
0022100047,1627524,Nate Green,Nate,Green,65,Regular Season,Regular Season,Regular Season,0
0022100048,1146,Tony Brothers,Tony,Brothers,25,Regular Season,Regular Season,Regular Season,0
0022100048,1199,Tom Washington,Tom,Washington,49,Regular Season,Regular Season,Regular Season,0
0022100048,202007,Nick Buchert,Nick,Buchert,3,Regular Season,Regular Season,Regular Season,0
0022100049,2715,Eric Lewis,Eric,Lewis,42,Regular Season,Regular Season,Regular Season,0
0022100049,201638,Brent Barnaky,Brent,Barnaky,36,Regular Season,Regular Season,Regular Season,0
0022100049,1627541,Natalie Sago,Natalie,Sago,9,Regular Season,Regular Season,Regular Season,0
0022100050,202035,Brett Nansel,Brett,Nansel,44,Regular Season,Regular Season,Regular Season,0
0022100050,202058,James Williams,James,Williams,60,Regular Season,Regular Season,Regular Season,0
0022100050,203591,Mitchell Ervin,Mitchell,Ervin,27,Regular Season,Regular Season,Regular Season,0
0022100051,1155,JB DeRosa,JB,DeRosa,62,Regular Season,Regular Season,Regular Season,0
0022100051,201245,Marat Kogut,Marat,Kogut,32,Regular Season,Regular Season,Regular Season,0
0022100051,202049,Ben Taylor,Ben,Taylor,46,Regular Season,Regular Season,Regular Season,0
0022100052,2882,Sean Wright,Sean,Wright,4,Regular Season,Regular Season,Regular Season,0
0022100052,203593,Justin Van Duyne,Justin,Van Duyne,64,Regular Season,Regular Season,Regular Season,0
0022100052,1627519,John Conley,John,Conley,79,Regular Season,Regular Season,Regular Season,0
0022100053,101283,Brian Forte,Brian,Forte,45,Regular Season,Regular Season,Regular Season,0
0022100053,200832,Curtis Blair,Curtis,Blair,74,Regular Season,Regular Season,Regular Season,0
0022100053,1627534,Andy Nagy,Andy,Nagy,83,Regular Season,Regular Season,Regular Season,0
0022100054,2002,Derrick Collins,Derrick,Collins,11,Regular Season,Regular Season,Regular Season,0
0022100054,2714,David Guthrie,David,Guthrie,16,Regular Season,Regular Season,Regular Season,0
0022100054,1627961,Brandon Adair,Brandon,Adair,67,Regular Season,Regular Season,Regular Season,0
0022100055,1198,Scott Wall,Scott,Wall,31,Regular Season,Regular Season,Regular Season,0
0022100055,201639,Josh Tiven,Josh,Tiven,58,Regular Season,Regular Season,Regular Season,0
0022100055,1628487,Danielle Scott,Danielle,Scott,87,Regular Season,Regular Season,Regular Season,0
0022100056,1148,James Capers,James,Capers,19,Regular Season,Regular Season,Regular Season,0
0022100056,1193,Michael Smith,Michael,Smith,38,Regular Season,Regular Season,Regular Season,0
